number1,number2,length1,length2
8,7,1,1
1,2,1,1
9,7,1,1
9,3,1,1
5,4,1,1
6,9,1,1
5,2,1,1
1,8,1,1
1,3,1,1
7,1,1,1
2,16,1,2
8,71,1,2
2,13,1,2
5,85,1,2
8,31,1,2
5,26,1,2
3,72,1,2
2,41,1,2
9,46,1,2
10,84,1,2
9,698,1,3
10,880,1,3
10,753,1,3
5,740,1,3
8,379,1,3
6,312,1,3
1,566,1,3
1,304,1,3
4,724,1,3
8,931,1,3
3,5937,1,4
1,4094,1,4
3,9263,1,4
5,1602,1,4
1,2149,1,4
5,3257,1,4
7,3331,1,4
3,8565,1,4
3,1439,1,4
7,3844,1,4
8,71541,1,5
6,18966,1,5
9,52019,1,5
5,45369,1,5
1,60746,1,5
1,38256,1,5
2,22560,1,5
10,37196,1,5
10,13484,1,5
7,59874,1,5
4,544847,1,6
4,249823,1,6
6,400486,1,6
6,236360,1,6
6,761316,1,6
4,676317,1,6
10,512535,1,6
2,339079,1,6
5,732866,1,6
9,532384,1,6
5,4454343,1,7
7,1575797,1,7
1,4577826,1,7
4,5626655,1,7
4,1799714,1,7
1,3317703,1,7
9,4816168,1,7
4,9412352,1,7
5,2472379,1,7
8,3703727,1,7
7,18603816,1,8
9,23931203,1,8
5,25515988,1,8
9,80471426,1,8
3,55065113,1,8
8,40049815,1,8
10,56511308,1,8
7,52735279,1,8
1,68848436,1,8
3,12357728,1,8
1,256689754,1,9
8,753482555,1,9
4,120702360,1,9
9,970870286,1,9
7,599213351,1,9
10,830171525,1,9
7,168328825,1,9
8,150805061,1,9
5,808633313,1,9
5,342743808,1,9
3,4798500633,1,10
2,2909275291,1,10
6,1824180493,1,10
4,5963202765,1,10
3,8316985093,1,10
1,4028197323,1,10
4,6510313478,1,10
6,9814483299,1,10
6,6305349873,1,10
10,5477120616,1,10
32,2,2,1
35,1,2,1
50,10,2,1
66,1,2,1
31,1,2,1
94,6,2,1
16,5,2,1
75,8,2,1
49,7,2,1
27,5,2,1
27,18,2,2
32,99,2,2
91,34,2,2
48,37,2,2
31,68,2,2
22,49,2,2
53,46,2,2
80,78,2,2
86,30,2,2
15,80,2,2
11,374,2,3
27,504,2,3
51,720,2,3
53,919,2,3
48,271,2,3
14,646,2,3
18,276,2,3
36,103,2,3
27,510,2,3
70,855,2,3
79,5631,2,4
28,4701,2,4
46,8574,2,4
67,5232,2,4
67,4018,2,4
24,5558,2,4
32,7143,2,4
23,7818,2,4
10,4415,2,4
12,7592,2,4
19,50618,2,5
19,76736,2,5
56,56727,2,5
79,91620,2,5
11,14447,2,5
17,82940,2,5
65,22537,2,5
26,91679,2,5
34,88467,2,5
84,75697,2,5
66,431795,2,6
28,540072,2,6
84,409719,2,6
95,513003,2,6
35,962479,2,6
59,934365,2,6
45,604195,2,6
11,375787,2,6
11,319028,2,6
90,452043,2,6
93,8337631,2,7
41,5718681,2,7
37,6227638,2,7
78,1046311,2,7
26,4682054,2,7
51,1523880,2,7
17,4308720,2,7
45,6609899,2,7
71,5988129,2,7
86,9509044,2,7
15,58376141,2,8
80,62687260,2,8
37,81726802,2,8
47,51091727,2,8
52,28488007,2,8
82,63789818,2,8
15,21413397,2,8
48,24821706,2,8
66,57818566,2,8
93,67003051,2,8
53,377032259,2,9
52,598984979,2,9
91,597039575,2,9
55,248127286,2,9
16,348779179,2,9
27,181826586,2,9
79,384354900,2,9
33,795267159,2,9
65,781434395,2,9
62,764541836,2,9
68,8613622660,2,10
97,1892467511,2,10
57,3837235477,2,10
57,8280649784,2,10
65,8002312327,2,10
35,7858758225,2,10
16,3719930339,2,10
64,7442967211,2,10
56,5910724014,2,10
98,8968076736,2,10
609,7,3,1
398,10,3,1
812,9,3,1
660,10,3,1
167,5,3,1
801,9,3,1
343,5,3,1
396,7,3,1
482,8,3,1
953,8,3,1
199,82,3,2
953,81,3,2
872,55,3,2
754,73,3,2
458,69,3,2
613,56,3,2
784,99,3,2
562,34,3,2
998,87,3,2
966,40,3,2
457,442,3,3
107,195,3,3
587,623,3,3
181,437,3,3
587,594,3,3
269,265,3,3
928,185,3,3
116,543,3,3
343,331,3,3
916,446,3,3
641,2569,3,4
790,9004,3,4
361,1971,3,4
839,3478,3,4
319,9321,3,4
910,4033,3,4
467,1731,3,4
863,7670,3,4
124,4999,3,4
800,3267,3,4
837,94386,3,5
829,93363,3,5
876,43961,3,5
732,22670,3,5
342,59198,3,5
445,65875,3,5
665,41085,3,5
275,90392,3,5
543,42283,3,5
315,38541,3,5
897,369655,3,6
933,159253,3,6
222,309634,3,6
848,397322,3,6
266,309826,3,6
379,760634,3,6
509,381452,3,6
271,783385,3,6
151,420672,3,6
209,585622,3,6
956,9831197,3,7
439,7199436,3,7
780,1275861,3,7
231,6661666,3,7
373,2692112,3,7
662,8731070,3,7
424,2229764,3,7
784,4640211,3,7
615,8238110,3,7
291,1751299,3,7
823,87093873,3,8
797,68917154,3,8
750,30890236,3,8
449,91720372,3,8
449,97381920,3,8
615,77357422,3,8
610,98314576,3,8
809,82377256,3,8
627,55665460,3,8
841,16793865,3,8
693,300456740,3,9
583,635170632,3,9
634,662011514,3,9
748,303974481,3,9
705,891508102,3,9
259,300837871,3,9
273,316811574,3,9
788,917782725,3,9
275,495823408,3,9
515,433106559,3,9
782,8859523796,3,10
311,3999247833,3,10
105,3099642631,3,10
977,4969123425,3,10
182,2881464563,3,10
522,2655435987,3,10
821,3855985787,3,10
714,8004463461,3,10
770,1301306446,3,10
580,4635871607,3,10
4792,5,4,1
2793,1,4,1
7125,4,4,1
7528,7,4,1
1858,9,4,1
8067,3,4,1
7425,6,4,1
8654,1,4,1
8849,2,4,1
5900,6,4,1
4123,89,4,2
1131,34,4,2
4560,67,4,2
2791,64,4,2
2448,53,4,2
7585,55,4,2
3104,12,4,2
7018,66,4,2
9295,84,4,2
6713,19,4,2
1580,341,4,3
8496,193,4,3
4439,386,4,3
2572,835,4,3
2261,248,4,3
5605,335,4,3
5495,307,4,3
6272,766,4,3
7392,976,4,3
4672,407,4,3
2148,4697,4,4
8698,5003,4,4
1080,5869,4,4
8558,2550,4,4
8659,8075,4,4
9470,4966,4,4
6131,3642,4,4
8810,6319,4,4
7347,2614,4,4
2111,9576,4,4
5812,56633,4,5
1550,26347,4,5
1723,68124,4,5
5030,45227,4,5
2520,97784,4,5
9052,37714,4,5
4167,41171,4,5
1154,48618,4,5
8785,93349,4,5
5841,13466,4,5
4631,321926,4,6
2243,564017,4,6
2480,715942,4,6
8918,562593,4,6
6488,806130,4,6
2521,419894,4,6
3218,584496,4,6
8711,675913,4,6
8980,367040,4,6
4059,488505,4,6
9227,1535416,4,7
9102,3899126,4,7
4911,9904931,4,7
7108,4184662,4,7
1334,6966778,4,7
1963,1295798,4,7
9733,2799576,4,7
6307,4464435,4,7
6134,5129857,4,7
2048,6022594,4,7
6456,47555836,4,8
1110,90128723,4,8
3252,66969901,4,8
4175,47633718,4,8
8821,21748573,4,8
8720,82201293,4,8
6131,26759620,4,8
3914,76848510,4,8
6005,89686541,4,8
7829,40951275,4,8
8388,791456891,4,9
2812,972698861,4,9
9671,951042375,4,9
5511,379853661,4,9
1396,217329336,4,9
8320,904232895,4,9
6421,455242196,4,9
1101,286038486,4,9
4481,710938180,4,9
1504,234145371,4,9
4208,9368678408,4,10
7620,5627010731,4,10
3228,8856156303,4,10
3781,3581565723,4,10
7956,3934072751,4,10
3372,1278048799,4,10
1357,8504761358,4,10
2850,8944011636,4,10
4545,2942087422,4,10
7716,1175728966,4,10
12037,8,5,1
71599,9,5,1
36781,6,5,1
22613,4,5,1
36325,10,5,1
67485,5,5,1
54606,9,5,1
63027,9,5,1
16890,5,5,1
67761,7,5,1
34105,58,5,2
79143,34,5,2
15210,39,5,2
91155,20,5,2
56108,79,5,2
65866,99,5,2
84043,33,5,2
68281,54,5,2
90439,86,5,2
32493,38,5,2
26592,105,5,3
30581,928,5,3
28870,540,5,3
26766,106,5,3
80430,249,5,3
33519,404,5,3
14545,335,5,3
27970,950,5,3
65038,464,5,3
83625,181,5,3
97707,5038,5,4
93535,9940,5,4
71061,3454,5,4
36392,1138,5,4
81722,1927,5,4
35000,7517,5,4
48230,5024,5,4
76196,6518,5,4
73054,1294,5,4
45513,3537,5,4
88526,12797,5,5
38627,41508,5,5
50444,68288,5,5
76075,37718,5,5
99129,32269,5,5
66007,10660,5,5
92031,58537,5,5
42580,32756,5,5
56450,26784,5,5
91882,80857,5,5
31754,345530,5,6
67753,454884,5,6
23465,933347,5,6
50888,400036,5,6
70756,234552,5,6
23167,239369,5,6
53697,416472,5,6
95523,120659,5,6
23144,981135,5,6
66366,200494,5,6
42857,3516559,5,7
47497,2144329,5,7
81466,6969551,5,7
94161,3387169,5,7
15390,2906738,5,7
17601,7292304,5,7
44164,6495864,5,7
82409,5149674,5,7
30964,9241710,5,7
64957,6798634,5,7
36145,35221823,5,8
72564,64773792,5,8
46266,96852909,5,8
94050,33860000,5,8
45764,37900952,5,8
52538,56157450,5,8
17352,14280009,5,8
62756,73707352,5,8
57895,96148143,5,8
73256,91290235,5,8
47372,272981926,5,9
27938,458378061,5,9
13129,814262666,5,9
90939,349583483,5,9
81507,244467130,5,9
80019,521901275,5,9
32438,899268777,5,9
46546,630129711,5,9
97718,446988326,5,9
44584,307238427,5,9
44363,3177941700,5,10
69857,1447857881,5,10
76353,1215834379,5,10
90300,5906272183,5,10
45767,6087171199,5,10
73074,7575599553,5,10
69348,6978397353,5,10
38959,4441616579,5,10
32051,1018761225,5,10
41025,6065791301,5,10
802131,5,6,1
216540,1,6,1
252905,8,6,1
162207,7,6,1
937765,1,6,1
391291,1,6,1
982258,8,6,1
426286,3,6,1
416178,9,6,1
271386,8,6,1
287707,46,6,2
763412,17,6,2
223649,65,6,2
781339,86,6,2
744687,52,6,2
117372,58,6,2
469243,64,6,2
369640,21,6,2
130699,74,6,2
712053,89,6,2
983530,218,6,3
519188,302,6,3
263783,436,6,3
236205,226,6,3
324205,654,6,3
277867,761,6,3
513027,878,6,3
789306,940,6,3
454036,225,6,3
774584,734,6,3
233655,5040,6,4
612891,2048,6,4
347225,6451,6,4
459223,6471,6,4
140318,5936,6,4
276203,7006,6,4
451130,9816,6,4
637269,1090,6,4
625185,6262,6,4
366438,2085,6,4
506869,54346,6,5
794878,45608,6,5
112671,38790,6,5
654638,92059,6,5
823119,11218,6,5
876389,23862,6,5
770497,10372,6,5
600523,18242,6,5
291036,98991,6,5
909598,54802,6,5
331992,218597,6,6
147940,750591,6,6
413450,400627,6,6
285725,571104,6,6
522615,608296,6,6
349372,329276,6,6
748551,497881,6,6
342454,616563,6,6
246797,851278,6,6
686593,641463,6,6
491960,2264858,6,7
639142,3682628,6,7
126111,2901934,6,7
850516,5753323,6,7
114992,7542061,6,7
658884,9622088,6,7
277237,3761994,6,7
990960,5368748,6,7
168271,5652428,6,7
318736,3008472,6,7
856480,64060036,6,8
763916,36936388,6,8
964367,13400291,6,8
598995,81121184,6,8
766475,14742793,6,8
797086,52156942,6,8
316625,57852081,6,8
890218,98502508,6,8
847464,63658316,6,8
648180,25182167,6,8
566687,920537116,6,9
689063,354818964,6,9
718906,107207601,6,9
795635,479381478,6,9
262337,605455721,6,9
311245,573670276,6,9
511621,502026878,6,9
799750,772386927,6,9
701982,668742157,6,9
398691,621379171,6,9
824892,7707780105,6,10
605012,3890953125,6,10
503707,8061768880,6,10
920449,9015809991,6,10
911686,3607769514,6,10
524727,3046967181,6,10
649315,4412144352,6,10
706382,9545992429,6,10
431309,6059020814,6,10
978066,6254424452,6,10
2399657,10,7,1
7831054,8,7,1
2828600,4,7,1
2915720,1,7,1
9493474,9,7,1
9680323,6,7,1
4226752,3,7,1
7642801,3,7,1
9841182,8,7,1
5336050,5,7,1
6252431,30,7,2
7204690,52,7,2
8551212,63,7,2
4277126,44,7,2
8130592,95,7,2
2879099,20,7,2
8494011,24,7,2
3873199,42,7,2
9945787,57,7,2
4256064,37,7,2
6326337,635,7,3
5101665,568,7,3
6716288,650,7,3
1723367,318,7,3
7159895,353,7,3
5835927,696,7,3
9732424,594,7,3
3032694,888,7,3
5370586,830,7,3
4172163,405,7,3
2366274,3278,7,4
2101679,3930,7,4
1299260,8097,7,4
9455361,4892,7,4
8341903,6801,7,4
7878540,7205,7,4
5336449,4122,7,4
3106960,1847,7,4
7709441,9817,7,4
2479035,6472,7,4
8861892,56365,7,5
1562872,88924,7,5
5390683,75115,7,5
9489876,97159,7,5
3169969,86708,7,5
1583099,59122,7,5
2424876,36579,7,5
9052007,10553,7,5
9842503,56946,7,5
4587034,45631,7,5
3723791,848300,7,6
3318214,606214,7,6
2593255,687715,7,6
1868680,238664,7,6
4681116,757027,7,6
6826168,207657,7,6
4609458,951423,7,6
2584435,806373,7,6
3197141,770835,7,6
2987736,781839,7,6
1152924,6160790,7,7
6670430,9829533,7,7
2321329,9957428,7,7
5935973,7827858,7,7
9300762,3852128,7,7
1253808,5978431,7,7
1758345,5359525,7,7
2553862,3996097,7,7
5739926,3236459,7,7
4364987,1944258,7,7
6672445,16939373,7,8
9186792,44300532,7,8
4411589,76687273,7,8
6621642,19319111,7,8
7963726,61640197,7,8
8081370,48369728,7,8
8002177,55434921,7,8
1232134,83869285,7,8
5419099,27168249,7,8
1878857,71834072,7,8
5340276,608515496,7,9
2182204,801496362,7,9
9287093,390976206,7,9
6178208,842508981,7,9
4171557,270662671,7,9
7277946,982040225,7,9
7092538,929404363,7,9
4871936,468569659,7,9
7581683,822857914,7,9
4988270,620897190,7,9
1962531,5734095771,7,10
4067012,3181442249,7,10
3374156,3597494234,7,10
1822124,6170404970,7,10
4059348,1653835924,7,10
2974317,1475211601,7,10
1961544,8596743921,7,10
2732435,7260160415,7,10
5179774,1191864259,7,10
5835448,5417678287,7,10
40982553,5,8,1
15501274,6,8,1
24593929,1,8,1
12759109,4,8,1
26652325,9,8,1
91109616,7,8,1
67087838,10,8,1
55762946,4,8,1
95230316,5,8,1
85397250,7,8,1
50391987,100,8,2
69198486,14,8,2
34011321,36,8,2
53945394,34,8,2
80887546,36,8,2
64761465,57,8,2
46310723,67,8,2
69853462,88,8,2
49922208,62,8,2
82796363,72,8,2
28827729,343,8,3
29445748,515,8,3
68933791,195,8,3
75627986,508,8,3
27637408,466,8,3
10989774,935,8,3
14449355,279,8,3
19514290,431,8,3
10617781,528,8,3
68750641,438,8,3
45920912,8352,8,4
59424372,1371,8,4
17262159,3454,8,4
14439207,1059,8,4
20944789,6851,8,4
18986716,8338,8,4
27486985,8960,8,4
70969182,7875,8,4
75896376,3069,8,4
32626542,7587,8,4
74577020,18277,8,5
96467734,20650,8,5
49724513,22221,8,5
52137562,24692,8,5
63366689,52073,8,5
65038558,41568,8,5
60806689,20431,8,5
99212186,41468,8,5
20876923,30610,8,5
87344456,91706,8,5
67479136,753443,8,6
62661715,679445,8,6
84391016,677192,8,6
19835167,829576,8,6
99445729,778288,8,6
85543057,848031,8,6
15708183,903072,8,6
81586079,159631,8,6
74592965,449604,8,6
60120989,675229,8,6
96886086,8195886,8,7
44862113,5266458,8,7
41646995,1526615,8,7
58353313,1269922,8,7
79394444,9283906,8,7
53110028,8579680,8,7
43803261,2593779,8,7
45871063,9967547,8,7
36914942,9448066,8,7
75305597,2057193,8,7
54383735,17479019,8,8
76238732,26623875,8,8
54316717,37211864,8,8
40137238,11481885,8,8
24925445,44838148,8,8
67488235,65040742,8,8
12974587,65168635,8,8
91549906,67856733,8,8
45167415,95489160,8,8
44646114,37218902,8,8
61281138,457604513,8,9
80828423,793508303,8,9
51099072,565519974,8,9
89833743,882611675,8,9
15632938,343613857,8,9
73019637,456262670,8,9
90859907,194588927,8,9
53107776,849176412,8,9
45354405,369279922,8,9
45545033,332182369,8,9
21115323,4823659676,8,10
57858858,9530856054,8,10
31520891,1303227730,8,10
95237769,5639851922,8,10
14866886,8020443563,8,10
39256253,7401517161,8,10
45380519,9107221337,8,10
77272983,6510513862,8,10
60307720,2114709652,8,10
39954366,1507068842,8,10
570549646,2,9,1
785160589,10,9,1
861175852,6,9,1
347919286,1,9,1
629279178,2,9,1
651790069,3,9,1
764167731,9,9,1
901747463,9,9,1
200586097,10,9,1
996644250,3,9,1
995422993,88,9,2
593925995,16,9,2
547274547,52,9,2
722810794,45,9,2
885562106,84,9,2
562189611,99,9,2
895490022,25,9,2
649390249,18,9,2
365167046,36,9,2
966071961,64,9,2
125520621,866,9,3
178108992,363,9,3
428571890,466,9,3
623401441,703,9,3
741657178,592,9,3
437459790,924,9,3
426307504,518,9,3
931312509,899,9,3
446148696,747,9,3
882993684,983,9,3
916234088,1007,9,4
605747264,8253,9,4
645288585,5160,9,4
915474296,8885,9,4
120329657,4609,9,4
361387566,1234,9,4
804634048,7510,9,4
164187633,6359,9,4
646517678,2047,9,4
216627760,3118,9,4
266393000,51717,9,5
592960110,40140,9,5
254368524,15549,9,5
376065452,67861,9,5
159656229,62263,9,5
970241073,73114,9,5
610633161,51790,9,5
372668348,51595,9,5
895764453,23315,9,5
652572068,76244,9,5
286868903,826562,9,6
707332090,231007,9,6
570957192,309980,9,6
675736483,978580,9,6
553161070,333076,9,6
982236050,959827,9,6
768712943,462668,9,6
440795908,172650,9,6
760667965,715105,9,6
198257648,442068,9,6
892143686,3397246,9,7
261127707,5834132,9,7
838450220,2641531,9,7
605862242,3370141,9,7
159919941,5560682,9,7
370042384,1954058,9,7
780046394,5381194,9,7
897038762,9718204,9,7
110733770,4070070,9,7
557770004,7216983,9,7
902928914,84723084,9,8
239294245,28838698,9,8
765334611,95817089,9,8
796014621,33564479,9,8
929439611,90441957,9,8
874341911,35859860,9,8
135178516,85679468,9,8
855911327,79901829,9,8
636333648,71366983,9,8
956874832,48573516,9,8
145869636,559457871,9,9
920788514,231795159,9,9
540476299,484607450,9,9
373405475,736673630,9,9
583908723,300223920,9,9
224872048,912086239,9,9
196109691,573220728,9,9
533878364,850216047,9,9
810755516,343404506,9,9
555212712,180181557,9,9
392875116,4287470407,9,10
993421762,3531241466,9,10
611458247,2815782811,9,10
529291468,2351379751,9,10
901068864,7082702442,9,10
179655484,9130982663,9,10
608481848,5396591119,9,10
373920557,9449252046,9,10
702253716,9771579944,9,10
862224055,2931696990,9,10
5351393888,1,10,1
5748599897,5,10,1
3589844007,2,10,1
3935559666,4,10,1
4319655709,3,10,1
6803499298,8,10,1
5374999661,8,10,1
5084721479,3,10,1
3837695757,3,10,1
1312189405,5,10,1
6314371319,61,10,2
4520984266,78,10,2
9693652875,37,10,2
8787376023,68,10,2
8496478897,46,10,2
7220190684,20,10,2
1672857088,55,10,2
7895558727,16,10,2
6100816063,40,10,2
3710295553,50,10,2
3321203455,176,10,3
8982260494,674,10,3
5014235305,677,10,3
3475419334,776,10,3
8994335623,951,10,3
2899677352,356,10,3
4239093966,884,10,3
1820580015,986,10,3
9722016514,238,10,3
3800024251,818,10,3
1363236421,4282,10,4
5460106170,9130,10,4
5151235265,3265,10,4
3442692592,4291,10,4
3773068204,3143,10,4
6295796318,8582,10,4
1356897419,2686,10,4
7578104979,8306,10,4
4775948469,2962,10,4
3186148819,5334,10,4
3096842817,65734,10,5
3210074440,84545,10,5
5310155652,10409,10,5
6084129090,87175,10,5
2139478759,53485,10,5
6822106718,17557,10,5
6478400594,89992,10,5
8585239257,61501,10,5
1828085048,43773,10,5
9530813573,36681,10,5
7170290219,848123,10,6
8552024436,532437,10,6
2030593809,864073,10,6
9689125126,296338,10,6
5806929417,880383,10,6
1034048430,184454,10,6
6981574067,244817,10,6
3186792473,963396,10,6
9634441288,687935,10,6
1167462732,402632,10,6
4086586800,1832506,10,7
1123991623,4042822,10,7
8067725370,6338174,10,7
9315956750,2894923,10,7
6063450759,2605038,10,7
5492780272,4343315,10,7
4751473572,4965505,10,7
3936445151,4709803,10,7
6794107396,4256606,10,7
2631169913,5677493,10,7
3462417210,13861414,10,8
3579480192,84069574,10,8
5204806409,17888862,10,8
7725347744,20821005,10,8
6053093657,85203100,10,8
9706207971,73236154,10,8
7087320042,91324008,10,8
5571855218,15480205,10,8
2000501912,30141169,10,8
2129737910,74731583,10,8
2451450128,288247010,10,9
6193293038,582516087,10,9
4667791916,439680685,10,9
4840187201,384668388,10,9
9005323267,250027264,10,9
4641202124,876590306,10,9
1652381544,279898606,10,9
7261548071,829561133,10,9
2400648775,556652437,10,9
3411305498,202000085,10,9
9791076262,8599022740,10,10
8742692527,7976618068,10,10
4130433636,1406083499,10,10
1699801202,3018350288,10,10
4628655167,3632231650,10,10
1724785587,4562135621,10,10
7631475494,6750519337,10,10
4807483453,5655255166,10,10
5732291796,9998149248,10,10
7422376337,3517346293,10,10
